surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
0.0311328918354044,2.0,0,1,0,0,0,0,6.5
-0.3727378334422271,2.0,1,1,0,0,0,0,5.800000000000001
-0.5953332496843541,2.0,0,1,0,0,0,0,5.414000000000001
-0.4313857275419491,2.0,0,1,0,0,0,0,5.9
-0.4247211941215262,2.0,0,1,0,0,0,0,9.5
-0.0395111624210789,3.0,0,1,0,0,0,0,7.800000000000001
-0.5953332496843541,2.0,0,1,0,0,0,0,5.5
-0.7046315977792906,2.0,0,0,0,1,0,0,5.9990000000000006
0.6949204205095315,3.0,0,1,0,0,0,0,14.6
1.9478527035490485,3.0,0,1,0,0,0,0,15.9
0.5696271922055799,3.0,1,1,0,0,0,0,13.5
0.2577270281297852,3.0,0,1,0,0,0,0,7.902
-1.1551540569998828,1.0,0,1,0,0,0,0,4.55
-0.6353204502068918,2.0,0,0,0,0,0,1,4.444
-1.072513842586638,1.0,0,0,0,0,0,0,3.9
1.883873182712988,4.0,1,1,0,0,0,0,23.0
0.0631226522534346,3.0,0,0,0,0,0,0,8.4
0.7695631948182687,3.0,0,1,0,0,0,0,12.8
0.9215145568039124,3.0,0,1,1,0,0,0,16.1
0.3643595628565526,3.0,0,1,0,0,0,0,7.9
-0.5820041828435081,2.0,0,0,0,0,0,0,6.2
-0.5366853555846319,2.0,0,1,0,0,0,0,6.23
-0.4353844475942029,2.0,1,1,0,0,0,0,8.700000000000001
-0.4460477010668797,2.0,0,0,0,0,0,0,5.1000000000000005
-0.0301808156324868,2.0,0,1,0,0,0,0,9.7
-1.0778454693229766,1.0,0,1,0,0,0,0,4.38
-0.6033306897888616,2.0,0,0,0,0,1,0,6.499
-0.3180886593947588,2.0,0,1,0,0,1,0,6.5
-0.4300528208578645,2.0,0,0,0,0,0,0,6.0
-0.1554740439364385,3.0,0,1,0,0,0,0,6.6000000000000005
-0.2247851915088373,2.0,0,0,0,0,0,0,5.6000000000000005
-0.7126290378837982,2.0,0,0,0,0,0,0,4.57
-0.4700400213804023,2.0,0,0,0,0,0,0,4.74
0.8335427156543291,3.0,0,1,0,0,0,0,13.3
-0.4487135144350488,2.0,0,0,1,0,0,0,5.2
-0.5206904753756169,2.0,0,0,0,0,0,0,4.8020000000000005
0.7642315680819304,2.0,0,1,0,0,0,0,6.800000000000001
-0.2701040187677134,2.0,0,1,0,0,0,0,7.800000000000001
-0.3127570326584204,2.0,1,1,0,0,0,0,9.068
-0.3820681802308192,2.0,0,1,0,0,0,0,5.7
-1.355090059612572,2.0,0,0,0,0,0,0,1.729
-1.1924754441542516,1.0,0,1,0,0,0,0,3.6
-0.6699760239930912,2.0,0,0,0,0,0,1,4.383
0.4203416435881055,3.0,1,1,0,0,0,0,9.5
2.0731459318530003,3.5,0,1,1,0,0,0,21.1
2.257087054256674,3.5,1,1,0,0,0,0,25.0
-0.6593127705204145,2.0,0,0,0,0,0,0,4.32
